Asset Name,Type,Source,Source URL,License,Cost,Status,Video Script,Notes,Attribution Required,File Location
Philippine_Scouts_1905.jpg,Photo,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Philippine_Scouts,Public Domain,$0,ACQUIRED,#1,Early Philippine Scouts formation 1905,No,/media/photos/philippine-scouts/
philippine-scouts-training-fort-mckinley.jpg,Photo,NARA/Wikimedia,https://commons.wikimedia.org/wiki/Category:Philippine_Scouts,Public Domain,$0,ACQUIRED,#1,Training at Fort McKinley pre-war,No,/media/photos/philippine-scouts/
Instructing_Filipino_cadets.jpg,Photo,NARA/Wikimedia,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#1,US officers training Filipino cadets,No,/media/photos/philippine-scouts/
Marines_teach_Filipino_cadets.jpg,Photo,NARA/Wikimedia,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#1,Marines training Filipino cadets,No,/media/photos/philippine-scouts/
building_a_bridge.jpg,Photo,NARA/Wikimedia,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#1,Philippine Scouts engineering training,No,/media/photos/philippine-scouts/
Marching.jpg,Photo,NARA/Wikimedia,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#1,Philippine Scouts marching,No,/media/photos/philippine-scouts/
4th_Marines_at_the_philippines_in_January_1942.jpg,Photo,NARA,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#1 #3,4th Marines in Philippines Jan 1942,No,/media/photos/philippine-scouts/
Philippine_Infantry_Division_Insignia.svg,Graphic,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:12th_Infantry_Division_SSI.svg,Public Domain,$0,ACQUIRED,#1 #2,Philippine Division insignia (carabao) SVG,No,/media/photos/insignia/
carabao-division-insignia.svg,Graphic,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:12th_Infantry_Division_SSI.svg,Public Domain,$0,ACQUIRED (DUPLICATE),#1 #2,Philippine Division insignia - duplicate file,No,/media/insignia/
SergeantJoseCalugas_MedalOfHonor.jpg,Photo,NARA,https://catalog.archives.gov,Public Domain,$0,ACQUIRED,#3,Medal of Honor recipient Jose Calugas,No,/media/photos/medal-of-honor/
